店舗,URL,緯度経度,Geo3x3,2024/12/29 OPEN,2024/12/29 CLOSE,2024/12/30 OPEN,2024/12/30 CLOSE,2024/12/31 OPEN,2024/12/31 CLOSE,2025/1/1 OPEN,2025/1/1 CLOSE,2025/1/2 OPEN,2025/1/2 CLOSE,2025/1/3 OPEN,2025/1/3 CLOSE,2025/1/4 OPEN,2025/1/4 CLOSE
エルパ,https://lp-lpa.co.jp/information/%E5%B9%B4%E6%9C%AB%E5%B9%B4%E5%A7%8B%E3%81%AE%E5%96%B6%E6%A5%AD%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/,"36.096195,136.250217",E913873921695935,,,10:00,20:00,9:00,19:00,定休日,定休日,10:00,20:00,,,,
アピタ大和田（一部専門店を除く）,https://www.uny.co.jp/shop/single.php?shop_id=9999997,"36.097331,136.250217",E913873921938335,9:00,2100,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,,
福井西武,https://www.sogo-seibu.jp/fukui/topics/page/nenmatsunenshi2024-2025.html,"36.061791,136.219102",E913873647867143,,,10:00,19:30,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,
福井西武8階レストラン,https://www.sogo-seibu.jp/fukui/topics/page/nenmatsunenshi2024-2025.html,"36.061791,136.219102",E913873647867143,,,11:00,22:00,11:00,18:00,11:00,18:00,11:00,20:00,11:00,20:00,,
パリオ：グルメ館,http://www.pario.jp/news/detail.asp?Cd=1199,"36.062217,136.240774",E913873649992415,,,,,9:00,20:00,10:00,19:00,10:00,19:00,10:00,19:00,,
パリオ：トイザらス,http://www.pario.jp/news/detail.asp?Cd=1199,"36.062217,136.240774",E913873649992415,,,,,10:00,18:30,10:00,18:30,10:00,18:30,10:00,18:30,,
パリオ：専門店、ファッションプラザ、ダイソー,http://www.pario.jp/news/detail.asp?Cd=1199,"36.062217,136.240774",E913873649992415,,,,,10:00,18:30,休業,休業,10:00,18:30,10:00,18:30,,
パリオ：ミスド,http://www.pario.jp/news/detail.asp?Cd=1199,"36.062217,136.240774",E913873649992415,,,,,10:00,18:00,休業,休業,10:00,18:00,10:00,18:00,,
パリオ：ワールドビュッフェ,http://www.pario.jp/news/detail.asp?Cd=1199,"36.062217,136.240774",E913873649992415,,,,,11:00,15:00,休業,休業,17:00,21:30,,,,
アル・プラザ　ベル,https://www.heiwado.jp/info/scheduleinfo,"36.033703,136.212313",E913873539952148,9:30,21:00,9:30,21:00,9:30,20:00,10:00,19:00,,,,,,
アル・プラザ　アミ,https://www.heiwado.jp/info/scheduleinfo,"36.134837,136.219069",E913873944856963,9:00,21:00,9:00,21:00,9:00,20:00,10:00,19:00,,,,,,
アル・プラザ　鯖江,https://www.heiwado.jp/info/scheduleinfo,"35.969243,136.189568",E913873264736991,9:00,21:00,9:00,21:00,9:00,20:00,10:00,19:00,9:30,20:00,9:30,20:00,9:30,20:00
アル・プラザ　武生,https://www.heiwado.jp/info/scheduleinfo,"35.904482,136.170437",E913849882497813,,,,,9:00,19:00,店休,店休,全館　10:00,19:00,,,,
武生楽市：グルメ館,https://takefurakuichi.jp/images/top/jikanshop.pdf,"35.907036,136.192908",E913849891974373,9:00,22:00,9:00,22:00,9:00,20:00,10:00,19:00,10:00,19:00,10:00,19:00,,
武生楽市：専門店、ファッションプラザ、TSUTAYA,https://takefurakuichi.jp/images/top/jikanshop.pdf,"35.907036,136.192908",E913849891974373,,,,,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,,
バロー国高店,https://valor.jp/wp/wp-content/uploads/2024/12/18ca618daa17bd8863eff1885d1161e2.pdf,"35.908507,136.185709",E913849886337582,9:00,20:00,9:00,20:00,9:00,19:00,休業,休業,休業,休業,10:00,18:00,9:00,20:00
バロー北日野店,https://valor.jp/wp/wp-content/uploads/2024/12/18ca618daa17bd8863eff1885d1161e2.pdf,"35.883619,136.175875",E913849855625227,9:00,20:00,9:00,20:00,9:00,19:00,休業,休業,休業,休業,休業,休業,9:00,20:00
バロー今立店,https://valor.jp/wp/wp-content/uploads/2024/12/18ca618daa17bd8863eff1885d1161e2.pdf,"35.916518,136.243319",E913849984789291,9:00,20:00,9:00,20:00,9:00,19:00,休業,休業,休業,休業,休業,休業,9:00,20:00
バロー東鯖江店,https://valor.jp/wp/wp-content/uploads/2024/12/18ca618daa17bd8863eff1885d1161e2.pdf,"35.943326,136.195628",E913873234993624,9:00,20:00,9:00,20:00,9:00,19:00,休業,休業,休業,休業,休業,休業,9:30,20:00
ホームセンターみつわ 丸岡店,https://www.hc-mitsuwa.com/topics/detail.php?97,"36.137459,136.262339",E913873959162649,,,,,9:00,18:00,店休日,店休日,店休日,店休日,9:00,18:00,,
ホームセンターみつわ 武生店,https://www.hc-mitsuwa.com/topics/detail.php?97,"35.883919,136.177904",E913849856415887,,,,,9:00,19:00,店休日,店休日,9:00,18:00,9:00,18:00,,
PLANT-2 坂井店,https://www.plant-co.jp/campaign/detail/1080.html,"36.170043,136.222333",E913873977931838,8:00,21:00,8:00,21:00,8:00,20:00,10:00,20:00,9:00,20:00,8:00,21:00,,
PLANT-3 清水店,https://www.plant-co.jp/campaign/detail/1080.html,"36.029978,136.147712",E913873518616169,8:00,21:30,8:00,21:30,8:00,20:00,10:00,20:00,9:00,20:00,8:00,21:30,,
